no.,start,end
1,35.16,39.19
2,43.02,49.09
3,49.22,54.34
4,54.84,61.02
5,61.67,66.6
6,66.7,71.83
7,72.79,77.9
8,79.4,85.51
9,85.76,90.4
10,91.25,98.35
11,99.7,104.26
12,104.36,110.28
13,110.38,114.64
14,114.75,120.5
15,120.6,126.46
16,126.99,133.72
17,133.91,139.2
18,139.3,146.19
19,149.29,154.6
20,154.7,161.4
21,166.07,171.5
22,184.9,191.5
23,191.6,197.32
24,197.42,203.6
25,205.2,210.4
26,214.9,223
27,223.5,228.6
28,228.99,234.33
29,234.63,240.3
30,240.7,248
31,252.8,262.3
32,263.6,274.5
33,278,287.8
34,287.9,297.2
35,297.3,307.1
36,307.4,315.6
37,318.1,325.74
38,326.5,335.4
39,335.6,343.8
40,344.1,352.3
41,352.8,359.7
42,359.8,366.4
43,369.6,374.82
44,375.5,382.2
45,383.7,392.8
46,393.1,400.4
47,400.9,407.4
48,407.5,416.7
49,417,428.5
50,428.9,439.6
51,449.6,457.9
52,458.4,470.3
53,470.6,481.1
54,482.3,493.2
55,493.6,503.8
56,503.9,517.9
57,518.3,527.4
58,527.9,539
59,539.1,547.8
60,547.9,556.1
