no.,start,end
1,20.6,25.42
2,26,34.4
3,34.7,40.55
4,41,48.31
5,49.1,55.21
6,56.15,61.85
7,62.29,66.92
8,68.44,74.53
9,93.84,98.5
10,99.13,104.69
11,118.1,123.05
12,123.6,131.12
13,133.6,138.52
14,138.9,144.35
15,145.4,149.71
16,149.9,155.02
17,156.1,160.61
18,161,166.95
19,168.1,173.29
20,173.92,180.13
21,186.2,191.1
22,192.53,198.69
23,199.4,205.13
24,205.4,210.51
25,211.4,215.8
26,215.9,221.86
27,236,240.6
28,283.8,289.78
29,290.9,297.68
30,298.4,305.27
31,305.67,311.53
32,312,317.15
33,317.8,323.52
34,323.9,328.83
35,329.2,335.32
36,336,342
37,342.5,349.54
38,354.4,359.7
39,360.75,366.03
40,367.22,372.28
41,373,378.44
42,379.1,384.7
43,385,390.35
44,391,396.52
45,397,403.89
46,404.52,410.38
47,411.15,418.58
48,419.87,425.95
49,431.77,438.49
50,439,444.5
51,445.62,452.31
52,453,457.99
53,458.7,464.23
54,464.87,470.55
55,471,477.43
56,477.95,483.96
57,484.57,494.06
58,495.68,501.58
59,502.97,509.48
60,510.3,515.41
61,516.9,521.95
62,522.76,528.49
63,529.1,536.61
64,537,543.31
65,543.7,550.29
66,551.2,556.75
67,557.9,565.24
68,581.2,590.43
69,590.8,598.76
70,599.3,607.62
71,608.38,616.67
72,617.68,624.68
73,626.01,633.66
74,634.56,641.85
75,642.66,651.63
76,652.31,661.02
77,662.37,672.37
78,676.65,683.86
79,684.83,691.93
80,694,702.28
81,706.47,712.8
82,713.99,724.02
83,725.18,732.32
84,734.03,742.67
85,744.5,752.11
86,754.99,761.89
87,763.04,769.44
88,806,816.46
89,817,827.21
90,828.2,841.78
91,842.2,854.2
92,855,862.75
93,864.1,872.98
94,874.45,886.17
95,887,895.14
96,895.8,904.98
97,905.6,912.93
98,913.5,921.44
99,922.5,930.38
100,931,938.81
101,939.4,947.31
102,947.6,957.3
103,958,963.02
104,963.6,972.87
105,973.4,986.9
106,987,995.53
107,996.5,1004.75
108,1005.3,1013.89
109,1099.2,1108.34
110,1109,1115.91
111,1116.1,1125
112,1125.3,1131.57
113,1132,1139.4
114,1139.7,1147.29
115,1147.9,1154.54
116,1155.47,1163.19
117,1164.29,1171.49
118,1172.84,1183
119,1183.84,1193
120,1194.38,1201.18
121,1202.08,1209.63
122,1210.83,1217.64
123,1219.82,1227.53
124,1228.94,1236.33
125,1237.46,1245.67
126,1246.58,1254.75
127,1255.48,1263.39
128,1264.74,1270.94
129,1291.86,1297.75
130,1301.66,1311.47
131,1312.7,1322.57
132,1323.88,1330.69
133,1331.7,1340.12
134,1341.34,1349.76
135,1351.1,1359.02
136,1359.99,1369.29
137,1370.39,1378.67
138,1380.14,1389.61
139,1411.32,1421.78
140,1487.99,1495.07
141,1496.08,1503.43
142,1505.28,1513.77
143,1514.93,1525.37
144,1527.17,1537.87
145,1538.74,1547.59
146,1548.72,1556.11
147,1557.74,1565.51
148,1568.01,1576.31
149,1577.87,1585.84
150,1588.06,1596.07
151,1609.9,1618.62
152,1620.3,1629.62
153,1630.38,1640.13
154,1640.77,1648.5
155,1669,1675.53
156,1677.14,1684.3
157,1685.05,1693.86
158,1694.71,1702.32
159,1708.85,1716.7
160,1717.5,1725.55
161,1738.54,1747.1
162,1747.74,1754.1
163,1754.99,1761.36
164,1762.34,1769.46
165,1770.19,1776.69
166,1777.82,1783.25
167,1783.69,1789.21
168,1789.89,1797.02
169,1797.42,1802.8
170,1803.5,1808.8
171,1837.28,1842.78
172,1843.75,1850
173,1851.62,1857.9
174,1858.4,1864.97
175,1868.17,1875.52
176,1876.28,1886.55
177,1887.27,1894.24
178,1895.53,1903.4
179,1904.14,1911.02
180,1911.63,1918.67
181,1926.98,1934.03
182,1934.89,1943.4
183,1944.06,1950.99
184,1952.01,1960.57
185,1961.54,1970.02
186,1970.79,1978.58
187,1979.75,1991.34
188,1992.4,2000.02
189,2000.82,2010.51
190,2011.75,2014.27
191,2097.36,2106.79
192,2107.36,2118.31
193,2119,2128.35
194,2128.92,2139.66
195,2140.73,2149.69
196,2153.92,2164.2
197,2165.3,2174.21
198,2179.07,2189.68
199,2190.65,2202.28
