no.,start,end
1,67.42,75.61
2,76.55,82.68
3,84.68,90.42
4,92.5,100.23
5,103,110.25
6,112.51,119.13
7,121.65,130.8
8,133.63,139.66
9,141.33,148.41
10,162.36,168.52
11,174.86,180.56
12,182.55,189.59
13,191.42,196.57
14,203.49,208.32
15,209.58,217.28
16,219.57,225.27
17,226.85,233.3
18,235.26,242.47
19,243.87,250.87
20,255.47,263.07
21,285.78,293.89
22,295.78,302.59
23,307.48,312.03
24,314.35,320.45
25,325.63,331.8
26,334.09,339.44
27,341.44,347.81
28,349.98,355.54
29,359.19,365.48
30,367.38,372.42
31,376.74,384.64
32,386.15,392.75
33,394.86,401.17
34,405.9,413.56
35,416.27,421.8
36,426.76,431.53
37,433.4,439.69
38,441.55,448.31
39,453.89,459.65
40,461.61,470.59
