No.,Start,end
1,11.01,13.48
2,17.85,20.24
3,22.38,23.99
4,29.45,31.94
5,35.24,36.7
6,39.28,41.45
7,42.87,43.9
8,47.88,49.4
9,53.49,55.17
10,59.67,61.7
11,65.28,66.91
12,71.45,73.19
13,76.11,76.97
14,81.36,83.4
15,85.969,87.47
16,92.55,94.6
17,99.74,101.65
18,104.48,106.03
19,108.6,110.35
20,111.5,113.31
21,118.27,120.39
22,125.66,126.75
23,130.66,131.91
24,137.88,139.76
25,141.59,143.62
26,146.26,147.69
27,149.45,150.9
28,153.32,155.02
29,158.48,159.88
30,168.45,171
31,173.64,175.38
32,178.18,180.65
33,184,186.44
34,187.76,191.4
35,202.75,205.19
36,207.81,210.57
37,218.82,220.85
38,223.72,225.14
39,227.59,229.4
40,232.33,233.54
41,236.12,238.72
42,250.02,252.6
43,257.42,259.49
44,266.42,268.75
45,271.8,273.06
46,276.63,280.19
47,289.69,293
48,296.57,298.77
49,304.55,306.62
50,313.34,315.84
51,321.28,323.18
