No.,Start,end
1,11.01,14.48
2,16.85,21.24
3,21.38,24.99
4,28.45,32.94
5,34.24,37.7
6,38.28,41.85
7,41.97,44.9
8,46.88,50.4
9,52.49,56.17
10,58.67,62.7
11,64.28,67.91
12,70.45,74.19
13,75.11,77.97
14,80.36,84.4
15,84.969,88.47
16,91.55,95.6
17,98.74,102.65
18,103.48,107.03
19,107.6,110.45
20,111.0,114.31
21,117.27,121.39
22,124.66,127.75
23,129.66,132.91
24,136.88,140.46
25,140.59,144.92
26,145.26,148.39
27,148.55,151.9
28,152.32,156.02
29,157.48,160.88
30,167.45,172
31,172.64,176.38
32,177.18,181.65
33,183,187.44
34,187.76,192.4
35,201.75,206.19
36,206.81,211.57
37,217.82,221.85
38,222.72,226.14
39,226.59,230.4
40,231.33,234.54
41,235.12,239.72
42,249.02,253.6
43,256.42,260.49
44,265.42,269.75
45,270.8,274.06
46,275.63,281.19
47,288.69,294
48,295.57,299.77
49,303.55,307.62
50,312.34,316.84
51,321.28,323.18
