no., start, end,
1, 21.15, 28.13,
2, 29.1, 36.15,
3, 37.09, 44.2,
4, 45.16, 53.38,
5, 54.18, 62.0,
6, 63.3, 71.52,
7, 72.53, 80.07,
8, 80.18, 87.09,
9, 88.07, 94.12,
10, 99.11, 100.17,
11, 119.4, 127.19,
12, 128.0, 138.02,
13, 141.13, 150.13,
14, 154.03, 165.22,
15, 168.56, 177.19,
16, 178.08, 186.1,
17, 188.08, 199.1,
18, 200.55, 215.1,
19, 218, 229.12,
20, 229.52, 238.06,
21, 239.02, 252.04,
22, 265.06, 272.16,
23, 274.58, 283.14,
24, 285.03, 292.23,
25, 294.16, 303.24,
26, 304.19, 310.1,
27, 312.11, 321,09,
28, 322.1, 336.07,
29, 347.03, 358.12,
30, 359.01, 371.05,
31, 377.17, 387.19,
